"Trial.Site.ID","FA","M6","Offset.M6.FA"
"1231",5776,5615,-161
"1226",1351,1336,-15
"1241",1549,1544,-5
"1185",66,63,-3
"1194",104,102,-2
"1195",158,156,-2
"1197",100,100,0
"1202",12,12,0
"1203",60,59,-1
"1229",210,206,-4
"1230",210,205,-5
"1246",130,129,-1
"1247",250,248,-2
"1205",80,79,-1
"1207",69,67,-2
"1208",55,54,-1
"1209",21,20,-1
"1210",62,62,0
"1212",36,35,-1
"1213",60,55,-5
"1214",55,54,-1
"1217",62,61,-1
"1001",115,112,-3
"1002",57,56,-1
"1003",170,167,-3
"1005",389,427,38
"1006",168,275,107
"1007",412,586,174
"1008",745,934,189
"1009",252,392,140
"1011",227,226,-1
"1012",184,175,-9
"1013",795,830,35
"1015",264,260,-4
"1016",336,371,35
"1018",326,296,-30
"1019",315,305,-10
"1021",252,248,-4
"1022",170,166,-4
"1024",128,124,-4
"1027",215,212,-3
"1028",289,286,-3
"1030",156,153,-3
"1036",141,129,-12
"1037",349,341,-8
"1038",127,127,0
"1039",224,308,84
"1042",245,226,-19
"1044",226,378,152
"1046",337,337,0
"1047",327,317,-10
"1048",131,127,-4
"1052",175,159,-16
"1054",204,182,-22
"1055",246,237,-9
"1056",611,613,2
"1057",357,431,74
"1066",387,425,38
"1068",117,116,-1
"1071",237,225,-12
"1072",101,99,-2
"1073",124,116,-8
"1077",261,287,26
"1079",309,299,-10
"1080",217,212,-5
"1081",210,197,-13
"1082",214,203,-11
"1083",254,245,-9
"1084",523,545,22
"1085",369,350,-19
"1087",594,570,-24
"1088",260,259,-1
"1089",349,323,-26
"1090",533,511,-22
"1091",374,448,74
"1092",273,267,-6
"1093",202,194,-8
"1094",185,175,-10
"1095",285,285,0
"1096",378,361,-17
"1097",121,117,-4
"1098",258,235,-23
"1101",116,116,0
"1107",200,193,-7
"1109",555,526,-29
"1110",373,350,-23
"1111",205,198,-7
"1112",342,328,-14
"1114",124,118,-6
"1116",314,293,-21
"1117",183,180,-3
"1118",129,122,-7
"1120",370,345,-25
"1121",120,98,-22
"1122",54,48,-6
"1123",396,489,93
"1124",235,257,22
"1125",213,217,4
"1126",211,319,108
"1127",108,100,-8
"1128",376,359,-17
"1129",246,245,-1
"1130",98,98,0
"1131",236,269,33
"1133",612,530,-82
"1134",423,417,-6
"1135",538,513,-25
"1136",103,100,-3
"1139",126,248,122
"1140",292,364,72
"1141",259,252,-7
"1142",296,371,75
"1145",104,102,-2
"1146",373,370,-3
"1147",234,318,84
"1149",336,320,-16
"1150",145,294,149
"1152",576,733,157
"1156",295,368,73
"1157",172,155,-17
"1161",43,33,-10
"1162",572,540,-32
"1163",142,138,-4
"1166",106,100,-6
"1167",229,225,-4
"1168",239,225,-14
"1169",75,68,-7
"1170",494,465,-29
"1171",303,286,-17
"1174",68,67,-1
"1177",565,561,-4
"1178",314,306,-8
"1179",173,171,-2
"1204",279,272,-7
"1218",20,53,33
"1219",38,58,20
"1220",39,53,14
"1221",34,87,53
"1223",251,266,15
"1224",163,183,20
"1232",429,399,-30
"1235",223,244,21
"1248",238,218,-20
"1251",256,252,-4
"1252",39,38,-1
"1254",206,201,-5
"1258",74,72,-2
"1260",130,130,0
"1261",82,82,0
"1264",226,224,-2
"1265",178,174,-4
"1269",141,135,-6
"1270",155,233,78
